,courses_names,courses_links,level,school
0,Curso Profesional de Git y GitHub,/cursos/git-github/,Cursos Básicos,Data_science
1,Curso Básico de Python,/cursos/pythonbasico/,Cursos Básicos,Data_science
2,Curso de Introducción al Pensamiento Computacional con Python,/cursos/python-cs/,Cursos Básicos,Data_science
3,Curso de POO y Algoritmos con Python,/cursos/poo-python/,Cursos Básicos,Data_science
4,Curso de Programación Dinámica y Estocástica con Python,/cursos/programacion-estocastica/,Cursos Básicos,Data_science
5,Curso de Introducción al Pensamiento Probabilístico,/cursos/probabilistica/,Cursos Básicos,Data_science
6,Curso de Introducción a la Terminal y Línea de Comandos,/cursos/terminal/,Cursos Básicos,Data_science
7,Fundamentos de Bases de Datos,/cursos/bd/,Cursos Básicos,Data_science
8,Curso de SQL y MySQL,/cursos/sql-mysql/,Cursos Básicos,Data_science
9,Curso de SQL en Azure,/cursos/sql-azure/,Cursos Básicos,Data_science
10,Diseñar un Pipeline de transformación de datos,,Cursos Básicos,Data_science
11,Curso de Ingeniería de Datos con Python,/cursos/ingenieria-datos/,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
12,Curso de Web Scraping: Extracción de Datos en la Web,/cursos/webscraping/,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
13,Curso de Fundamentos de Web Scraping con Python y Xpath,/cursos/web-scraping/,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
14,Curso de Scrapy,/cursos/scrapy/,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
15,Curso de AWS Redshift para Manejo de Big Data,/cursos/redshift-big-data-2020/,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
16,Crea un Web Scrapper profesional,,"Ingeniería de Datos: Obteniendo, procesando y almacenando datos",Data_science
17,Curso de Fundamentos de Estadística y Análisis de Datos con Python,/cursos/estadistica-python/,Científico de Datos,Data_science
18,Curso Práctico de Regresión Lineal con Python,/cursos/regresion-python/,Científico de Datos,Data_science
19,Fundamentos de R,/cursos/fundamentos-r/,Científico de Datos,Data_science
20,Curso de PostgreSQL Aplicado a Ciencia de Datos,/cursos/postgresql-datos/,Científico de Datos,Data_science
21,Curso de Manipulación y Análisis de Datos con Pandas y Python,/cursos/pandas/,Científico de Datos,Data_science
22,Desarrolla un reporte de análisis exploratorio de datos,,Científico de Datos,Data_science
23,Curso de Fundamentos de Álgebra Lineal con Python,/cursos/algebra-lineal/,Ingeniero en Machine Learning,Data_science
24,Curso de Introducción a Machine Learning,/cursos/machine-learning/,Ingeniero en Machine Learning,Data_science
25,Curso de Álgebra Lineal Aplicada para Machine Learning,/cursos/algebra-ml/,Ingeniero en Machine Learning,Data_science
26,Curso de TensorFlow.js,/cursos/tensorflow-js/,Ingeniero en Machine Learning,Data_science
27,Curso de Redes Neuronales en Keras y Scikit-Learn,/cursos/keras-neural-networks/,Ingeniero en Machine Learning,Data_science
28,Curso de Fundamentos de Procesamiento de Lenguaje Natural con Python y NLTK,/cursos/python-lenguaje-natural/,Ingeniero en Machine Learning,Data_science
29,Desarrolla un reporte de análisis exploratorio de datos,,Ingeniero en Machine Learning,Data_science
30,Curso de Tecnología para Gerentes y Directores no Técnicos,/cursos/tecnologia-gerentes/,Aprende las bases y crea tu propuesta de valor,Startups
31,Curso para Comenzar tu Camino Emprendedor,/cursos/camino-emprendedor/,Aprende las bases y crea tu propuesta de valor,Startups
32,Curso de Microsoft Teams,/cursos/microsoft-teams/,Aprende las bases y crea tu propuesta de valor,Startups
33,Introducción a la Creación de Empresas y Startups,/cursos/creacion-de-empresas/,Aprende las bases y crea tu propuesta de valor,Startups
34,Curso de Business Model Canvas,/cursos/canvas/,Aprende las bases y crea tu propuesta de valor,Startups
35,Curso de Trabajo Remoto o Teletrabajo,/cursos/teletrabajo-trabajo-remoto/,Haz crecer tu startup,Startups
36,Taller de Creación de Startups,/cursos/taller-startups-2020/,Haz crecer tu startup,Startups
37,Curso de Finanzas para Startups,/cursos/financiera-startups/,Haz crecer tu startup,Startups
38,Curso de Internacionalización para Startups,/cursos/internacionalizacion-startups/,Haz crecer tu startup,Startups
39,Curso de Logística para Startups,/cursos/logistica-startups/,Haz crecer tu startup,Startups
40,Curso de Excel Financiero,/cursos/excel-financiero/,Profundiza en temáticas útiles,Startups
41,Curso de Estrategia Comercial,/cursos/estrategia-comercial/,Profundiza en temáticas útiles,Startups
42,Curso de Estrategia Comercial B2B,/cursos/comercial-b2b/,Profundiza en temáticas útiles,Startups
43,Curso Básico de Seguridad Informática para Empresas,/cursos/seguridad-empresas/,Profundiza en temáticas útiles,Startups
44,Curso de Reclutamiento de Talento,/cursos/reclutamiento-talento/,Profundiza en temáticas útiles,Startups
45,Curso de Trabajo Remoto o Teletrabajo,/cursos/teletrabajo-trabajo-remoto/,Profundiza en temáticas útiles,Startups
46,Fundamentos de Ingeniería de Software,/clases/ingenieria/,Bases y Fundamentos,Web_development
47,Curso Profesional de Git y GitHub,/clases/git-github/,Bases y Fundamentos,Web_development
48,Curso de Desarrollo Web Online,/clases/html5-css3/,Bases y Fundamentos,Web_development
49,Curso Definitivo de HTML y CSS,/clases/html-css-2020/,Bases y Fundamentos,Web_development
50,Curso Práctico de HTML y CSS,/clases/html-practico/,Bases y Fundamentos,Web_development
51,Curso de Prework: Buenas Prácticas y Entorno de Desarrollo,/clases/prework/,Bases y Fundamentos,Web_development
52,Curso de Responsive Design,/clases/responsive-design/,Bases y Fundamentos,Web_development
53,Curso de Sistemas de Diseño,/clases/sistemas-diseno/,Bases y Fundamentos,Web_development
54,Curso de CSS Grid Layout,/clases/css-grid-layout/,Bases y Fundamentos,Web_development
55,Curso Básico de JavaScript,/clases/basico-javascript/,Bases y Fundamentos,Web_development
56,Curso de JavaScript Engine (V8) y el Navegador,/clases/javascript-navegador/,Bases y Fundamentos,Web_development
57,Curso de Debugging con Chrome DevTools,/clases/devtools/,Bases y Fundamentos,Web_development
58,Curso de ECMAScript 6+,/clases/ecmascript-6/,Bases y Fundamentos,Web_development
59,Curso de Closures y Scope en JavaScript,/clases/scope/,Bases y Fundamentos,Web_development
60,Curso de Asincronismo con JavaScript,/clases/asincronismo-js/,Bases y Fundamentos,Web_development
61,Curso Profesional de JavaScript,/clases/javascript-profesional/,Bases y Fundamentos,Web_development
62,Curso de Accesibilidad Web,/clases/accesibilidad-web/,Bases y Fundamentos,Web_development
63,Curso de Single Page Application con JavaScript Vanilla,/clases/spa-javascript/,Bases y Fundamentos,Web_development
64,Taller de Creación de Router para Single Page App con JavaScript,/clases/singlepage-app/,Bases y Fundamentos,Web_development
65,Curso de Gestión de Dependencias y Paquetes con NPM,/clases/npm/,Bases y Fundamentos,Web_development
